"name","author","contributor","intro","download"
"copernicus","Peng Zhao","Peng Zhao","Write academic papers of Copernicus journals. Support both the two-columned pdf version and the discussion version.","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/copernicus.zip"
"docsens","Peng Zhao","Peng Zhao","A template from the book [Lokal lagring og bruk av sensitive data](https://bookdown.org/areedv/docSens/)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/docsens.zip"
"elsevier","Peng Zhao","Peng Zhao","Write academic papers of Elsevier journals.","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/elsevier.zip"
"journal","Peng Zhao","Peng Zhao","Laboratory journal or personal diary.","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/journal.zip"
"mail","Peng Zhao","Peng Zhao","Write elegant traditional mails. Multiple themes are available.","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/mail.zip"
"mdpi","Peng Zhao","Peng Zhao","Write academic papers in the layout of MDPI journals.","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/mdpi.zip"
"nonpar","Peng Zhao","Peng Zhao","A book template from the book [A short course on nonparametric curve estimation](https://bookdown.org/egarpor/nonpar-eafit/)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/nonpar.zip"
"nte_zh","Peng Zhao","Peng Zhao","A template from Nothing to envy, in Chinese. (中文散文模板。)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/nte_zh.zip"
"paper_zh","Peng Zhao","Peng Zhao","Write academic manuscript in Chinese with bilingual titles, author lists, abstracts, and keywords. (中文学术论文模板。支持双语标题、作者、摘要、关键词。)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/paper_zh.zip"
"pku_zh","Peng Zhao","Peng Zhao","Write a thesis of Peking University with R markdown syntax. (北京大学学位论文模板。)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/pku_zh.zip"
"poem","Peng Zhao","Peng Zhao","A poem book.","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/poem.zip"
"rbasics","Peng Zhao","Peng Zhao","A template from the book [Getting used to R, RStudio, and R Markdown](https://ismayc.github.io/rbasics-book/)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/rbasics.zip"
"classic","Peng Zhao","Peng Zhao","Classic thesis.","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/classic.zip"
"thesis_zh","Peng Zhao","Peng Zhao","A simple template for thesis in Chinese. (简单的中文学位论文模板。)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/thesis_zh.zip"
"ubt","Peng Zhao","Peng Zhao","Thesis of University of Bayreuth","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/ubt.zip"
"ucas_zh","Peng Zhao","Peng Zhao","Write a thesis of the University of Chinese Academy of Sciences. (中国科学院大学学位论文模板。)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/ucas_zh.zip"
"crc","Yihui Xie","Peng Zhao","Writing a book of [Chapman & Hall](https://github.com/yihui/bookdown-crc). ","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/crc.zip"
"demo","Yihui Xie","Peng Zhao","[The original demo book for bookdown](https://github.com/rstudio/bookdown-demo). ","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/demo.zip"
"mini","Yihui Xie","Peng Zhao","[A mini demo book for bookdown](https://github.com/yihui/bookdown-minimal). ","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/mini.zip"
"demo_zh","Yihui Xie","Peng Zhao","[The original demo book for bookdown in Chinese](https://github.com/yihui/bookdown-chinese). (官方中文模板。)","https://github.com/pzhaonet/bookdownplus/raw/master/inst/templates/demo_zh.zip"
