"name","author","intro"
"calendar","Peng Zhao","Insert monthly or weekly calendar."
"cchess","Peng Zhao","Instert Chinese chess diagrams."
"chemistry","Peng Zhao","Write a book with chemical molecular formulae and equations."
"chemistry_zh","Peng Zhao","Write a chemistry book in Chinese."
"dnd_dev","Peng Zhao","I don't know what on earth it is."
"guitar","Peng Zhao","Write a book with guitar chords."
"igo","Peng Zhao","Insert Go game diagrams."
"musix","Peng Zhao","Typesetting music and related stuff."
"skak","Peng Zhao","Insert chess diagrams."
"zju_zh","Peng Zhao","Thesis of Zhejiang Uni., in Chinese."
